o,d,t,flow,mean_speed
1,2,2018-01-01T00:00:00Z,0,NA
2,3,2018-01-01T00:00:00Z,22,38.41626706977277
1,2,2018-01-01T00:15:00Z,0,NA
2,3,2018-01-01T00:15:00Z,40,40.49581613221991
1,2,2018-01-01T00:30:00Z,0,NA
2,3,2018-01-01T00:30:00Z,58,38.1964006761517
1,2,2018-01-01T00:45:00Z,0,NA
2,3,2018-01-01T00:45:00Z,46,38.56648635388885
1,2,2018-01-01T01:00:00Z,0,NA
2,3,2018-01-01T01:00:00Z,43,40.406974949804834
1,2,2018-01-01T01:15:00Z,0,NA
2,3,2018-01-01T01:15:00Z,38,40.964064374139205
1,2,2018-01-01T01:30:00Z,0,NA
2,3,2018-01-01T01:30:00Z,42,39.78440135193897
1,2,2018-01-01T01:45:00Z,0,NA
2,3,2018-01-01T01:45:00Z,56,40.09898358624001
1,2,2018-01-01T02:00:00Z,0,NA
2,3,2018-01-01T02:00:00Z,49,37.68450596949758
1,2,2018-01-01T02:15:00Z,0,NA
2,3,2018-01-01T02:15:00Z,42,37.01081575564795
1,2,2018-01-01T02:30:00Z,0,NA
2,3,2018-01-01T02:30:00Z,58,40.021983069440445
1,2,2018-01-01T02:45:00Z,0,NA
2,3,2018-01-01T02:45:00Z,45,43.72210485459782
1,2,2018-01-01T03:00:00Z,0,NA
2,3,2018-01-01T03:00:00Z,43,43.45660083443679
1,2,2018-01-01T03:15:00Z,0,NA
2,3,2018-01-01T03:15:00Z,34,45.657043423183666
1,2,2018-01-01T03:30:00Z,0,NA
2,3,2018-01-01T03:30:00Z,33,42.80783804504097
1,2,2018-01-01T03:45:00Z,0,NA
2,3,2018-01-01T03:45:00Z,37,39.82323166951785
1,2,2018-01-01T04:00:00Z,0,NA
2,3,2018-01-01T04:00:00Z,55,39.160260425449565
1,2,2018-01-01T04:15:00Z,0,NA
2,3,2018-01-01T04:15:00Z,41,40.023369081176384
1,2,2018-01-01T04:30:00Z,0,NA
2,3,2018-01-01T04:30:00Z,33,43.1112452563368
1,2,2018-01-01T04:45:00Z,0,NA
2,3,2018-01-01T04:45:00Z,28,40.531007087758454
1,2,2018-01-01T05:00:00Z,0,NA
2,3,2018-01-01T05:00:00Z,33,42.163613347324215
1,2,2018-01-01T05:15:00Z,0,NA
2,3,2018-01-01T05:15:00Z,22,45.203046279267525
1,2,2018-01-01T05:30:00Z,0,NA
2,3,2018-01-01T05:30:00Z,20,43.54401042455675
1,2,2018-01-01T05:45:00Z,0,NA
2,3,2018-01-01T05:45:00Z,22,42.50229542226409
1,2,2018-01-01T06:00:00Z,0,NA
2,3,2018-01-01T06:00:00Z,21,38.785505106146466
1,2,2018-01-01T06:15:00Z,0,NA
2,3,2018-01-01T06:15:00Z,36,41.33187881448722
1,2,2018-01-01T06:30:00Z,0,NA
2,3,2018-01-01T06:30:00Z,37,43.31980905474772
1,2,2018-01-01T06:45:00Z,0,NA
2,3,2018-01-01T06:45:00Z,43,42.42169542989086
1,2,2018-01-01T07:00:00Z,0,NA
2,3,2018-01-01T07:00:00Z,43,41.289135023339234
1,2,2018-01-01T07:15:00Z,0,NA
2,3,2018-01-01T07:15:00Z,43,40.68430076156407
1,2,2018-01-01T07:30:00Z,0,NA
2,3,2018-01-01T07:30:00Z,39,40.98753838400519
1,2,2018-01-01T07:45:00Z,0,NA
2,3,2018-01-01T07:45:00Z,33,42.66978753711414
1,2,2018-01-01T08:00:00Z,0,NA
2,3,2018-01-01T08:00:00Z,35,43.61681699448076
1,2,2018-01-01T08:15:00Z,0,NA
2,3,2018-01-01T08:15:00Z,41,43.16461449544061
1,2,2018-01-01T08:30:00Z,0,NA
2,3,2018-01-01T08:30:00Z,46,44.78314432216081
1,2,2018-01-01T08:45:00Z,0,NA
2,3,2018-01-01T08:45:00Z,19,40.22640700937328
1,2,2018-01-01T09:00:00Z,0,NA
2,3,2018-01-01T09:00:00Z,10,39.977113353958444
1,2,2018-01-01T09:15:00Z,0,NA
2,3,2018-01-01T09:15:00Z,21,40.1336793268673
1,2,2018-01-01T09:30:00Z,0,NA
2,3,2018-01-01T09:30:00Z,0,NA
1,2,2018-01-01T09:45:00Z,0,NA
2,3,2018-01-01T09:45:00Z,0,NA
1,2,2018-01-01T10:00:00Z,0,NA
2,3,2018-01-01T10:00:00Z,6,40.33717693936547
1,2,2018-01-01T10:15:00Z,0,NA
2,3,2018-01-01T10:15:00Z,5,40.68499496570753
1,2,2018-01-01T10:30:00Z,0,NA
2,3,2018-01-01T10:30:00Z,0,NA
1,2,2018-01-01T10:45:00Z,0,NA
2,3,2018-01-01T10:45:00Z,5,43.602254688130145
1,2,2018-01-01T11:00:00Z,0,NA
2,3,2018-01-01T11:00:00Z,4,39.059101212723164
1,2,2018-01-01T11:15:00Z,0,NA
2,3,2018-01-01T11:15:00Z,8,38.31886450461359
1,2,2018-01-01T11:30:00Z,0,NA
2,3,2018-01-01T11:30:00Z,20,38.11714844759093
1,2,2018-01-01T11:45:00Z,0,NA
2,3,2018-01-01T11:45:00Z,47,38.32341079265393
1,2,2018-01-01T12:00:00Z,0,NA
2,3,2018-01-01T12:00:00Z,53,36.57307372417018
1,2,2018-01-01T12:15:00Z,0,NA
2,3,2018-01-01T12:15:00Z,42,36.30678075929094
1,2,2018-01-01T12:30:00Z,0,NA
2,3,2018-01-01T12:30:00Z,58,36.99118748917615
1,2,2018-01-01T12:45:00Z,0,NA
2,3,2018-01-01T12:45:00Z,92,34.682099397133364
1,2,2018-01-01T13:00:00Z,0,NA
2,3,2018-01-01T13:00:00Z,100,34.4097466196905
1,2,2018-01-01T13:15:00Z,0,NA
2,3,2018-01-01T13:15:00Z,103,36.58959676189025
1,2,2018-01-01T13:30:00Z,0,NA
2,3,2018-01-01T13:30:00Z,119,35.78708542472301
1,2,2018-01-01T13:45:00Z,2,38.52714585247464
2,3,2018-01-01T13:45:00Z,139,33.34439358990488
1,2,2018-01-01T14:00:00Z,1,5.9810724457497075
2,3,2018-01-01T14:00:00Z,81,35.28236283325531
1,2,2018-01-01T14:15:00Z,2,35.643882315915576
2,3,2018-01-01T14:15:00Z,82,34.756157821765804
1,2,2018-01-01T14:30:00Z,2,33.665973088105
2,3,2018-01-01T14:30:00Z,88,35.453739337590655
1,2,2018-01-01T14:45:00Z,0,NA
2,3,2018-01-01T14:45:00Z,96,36.87500817930151
1,2,2018-01-01T15:00:00Z,0,NA
2,3,2018-01-01T15:00:00Z,104,34.685929774609015
1,2,2018-01-01T15:15:00Z,1,73.60535186155815
2,3,2018-01-01T15:15:00Z,102,36.47414719123914
1,2,2018-01-01T15:30:00Z,1,73.60535186155815
2,3,2018-01-01T15:30:00Z,101,37.60122367911323
1,2,2018-01-01T15:45:00Z,0,NA
2,3,2018-01-01T15:45:00Z,96,38.30536152530023
1,2,2018-01-01T16:00:00Z,0,NA
2,3,2018-01-01T16:00:00Z,109,38.22048521182903
1,2,2018-01-01T16:15:00Z,0,NA
2,3,2018-01-01T16:15:00Z,113,38.57801385160445
1,2,2018-01-01T16:30:00Z,0,NA
2,3,2018-01-01T16:30:00Z,80,36.62155173385159
1,2,2018-01-01T16:45:00Z,1,57.43572919325585
